permalink,title,meta-description,meta-keywords,h1,h2,nagivation,template
index,Learn how to use Dapper Bulk Insert with Tutorials & Examples for Code First & Database First.,Learn how to use Dapper Bulk Insert with Tutorials & Examples for Code First & Database First.,,,,,full
/404.html,Page Moved,Page Moved,,Page Moved,,,container-h1
download,Download,Download,,Download,,no,full-h1
pricing,Purchase,Purchase,,Purchase,,no,full-h1
contact-us,Contact Us,Contact Us,,Contact Us,,no,full-h1
tutorials,Tutorials,Tutorials,,Tutorials,,,container-h1
overview,Overview,Overview,,Overview,,,
requirements,Requirements,Requirements,,Requirements,,,
installing,Installing,Installing,,Installing,,,
upgrading,Upgrading,Upgrading,,Upgrading,,,
licensing,Licensing,Licensing,,Licensing,,,
dapper-plus-actions,Dapper Plus - Actions,Dapper Plus - Actions,,Dapper Plus - Actions,,,
dapper-plus-mapper,Dapper Plus - Mapper,Dapper Plus - Mapper,,Dapper Plus - Mapper,,,
dapper-plus-relationship,Dapper Plus - Relationship,Dapper Plus - Relationship,,Dapper Plus - Relationship,,,
dapper-plus-manager,Dapper Plus - Manager,Dapper Plus - Manager,,Dapper Plus - Manager,,,
api,API,API,,API,,,
bulk-insert,Bulk Insert,Bulk Insert,,Bulk Insert,,,
bulk-update,Bulk Update,Bulk Update,,Bulk Update,,,
bulk-delete,Bulk Delete,Bulk Delete,,Bulk Delete,,,
bulk-merge,Bulk Merge,Bulk Merge,,Bulk Merge,,,
also-bulk-insert,Also Bulk Insert,Also Bulk Insert,,Also Bulk Insert,,,
also-bulk-update,Also Bulk Update,Also Bulk Update,,Also Bulk Update,,,
also-bulk-delete,Also Bulk Delete,Also Bulk Delete,,Also Bulk Delete,,,
also-bulk-merge,Also Bulk Merge,Also Bulk Merge,,Also Bulk Merge,,,
then-bulk-insert,Then Bulk Insert,Then Bulk Insert,,Then Bulk Insert,,,
then-bulk-update,Then Bulk Update,Then Bulk Update,,Then Bulk Update,,,
then-bulk-delete,Then Bulk Delete,Then Bulk Delete,,Then Bulk Delete,,,
then-bulk-merge,Then Bulk Merge,Then Bulk Merge,,Then Bulk Merge,,,
include-actions,Include Actions,Include Actions,,Include Actions,,,
transaction,Transaction,Transaction,,Transaction,,,
data-table,Datatable,Datatable,,Datatable,,,
map,Map,Map,,Map,,,
action-options,Action Options,Action Options,,Action Options,,,
batch-options,Batch Options,Batch Options,,Batch Options,,,
sql-server-options,SQL Server Options,SQL Server Options,,SQL Server Options,,,
temporary-table-options,Temporary Table Options,Temporary Table Options,,Temporary Table Options,,,
transient-error-options,Transient Error Options,Transient Error Options,,Transient Error Options,,,
relationship,Relationship,Relationship,,Relationship,,,
entity,Entity,Entity,,Entity,,,
mapper-factory,Mapper Factory,Mapper Factory,,Mapper Factory,,,
faq,FAQ,FAQ,,FAQ,,,
issue-tracker,Issue Tracker,Issue Tracker,,Issue Tracker,,,
faq-general,FAQ - General,FAQ - General,,FAQ - General,,,
faq-installation,FAQ - Installation,FAQ - Installation,,FAQ - Installation,,,
faq-license,FAQ - License,FAQ - License,,FAQ - License,,,
problems,Problems,Problems,,Problems,,,
trial,Trial,Trial,,Trial,,,
